timestamp;tag;avgsentiment;notweets;tweet1;tweet2
[1970-01-23 15:19:30, 1970-01-23 15:19:35];google;0.16354938513702816;9.0;b'ok google: pls tell me where to buy kaprizov nhl moments';b'RT @perfectswshots: Some very cool people are doing a reading of the Shakespearean adaptation of The Last Jedi on January 29th with donatio\xe2\x80\xa6'
[1970-01-23 15:19:30, 1970-01-23 15:19:35];netflix;0.07530303075909614;10.0;b'RT @dobbyprems: \xe2\x80\x94 \xe2\x99\xa1  \xf0\x9d\x92\x85\xf0\x9d\x92\x90\xf0\x9d\x92\x83\xf0\x9d\x92\x83\xf0\x9d\x92\x9a \xf0\x9d\x92\x91\xf0\x9d\x92\x93\xf0\x9d\x92\x86\xf0\x9d\x92\x8e\xf0\x9d\x92\x94\n\n:: jan 23, 2021\n\n\xe2\x80\xa7\xcd\x99\xe2\x81\xba\xcb\x9a*\xef\xbd\xa5\xe0\xbc\x93\xe2\x98\xbe available as of now \xe2\x98\xbd\xe0\xbc\x93\xef\xbd\xa5*\xcb\x9a\xe2\x81\xba\xe2\x80\xa7\xcd\x99\n1 month netflix solo less hold/wipe\nsolo : 190php\xe2\x80\xa6';"b'RT @BUNNYMYE0N: 210123 SEHUN INSTAGRAM LIVE \n\nSehun: Hello~ (in Korean &amp; English) What are you doing everyone? How do (I) say ""What are you\xe2\x80\xa6'"
[1970-01-23 15:19:35, 1970-01-23 15:19:40];google;-0.043790582567453384;14.0;b'Cloud Profiler provides app performance insights, without the overhead\n\n#Cloud #Profiler #App #Performance\xe2\x80\xa6 https://t.co/NanfqeTuVd';b'@AlecMacGillis This is a really humane thing to do in the era of the internet. The hard-line rules about never taki\xe2\x80\xa6 https://t.co/svrvYZXFzc'
[1970-01-23 15:19:35, 1970-01-23 15:19:40];netflix;0.10344516418196938;11.0;b'@Netflix is really coming strong with its anime this year \xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f https://t.co/0Sljb4JJ0a';"b""RT @mookmanshawty: Shawty Lo's actually"""
[1970-01-23 15:19:40, 1970-01-23 15:19:45];google;0.029338024224021608;14.0;b'@dreamlandfallin this link is wrong as well as 60% of google information about bi\n\nbisexuals have attraction to peo\xe2\x80\xa6 https://t.co/Q6jGrOOQ3g';b'@JonaldDump2 @RepMattGaetz Un-American groups pose as Republicans to establish disinformation networks for mind con\xe2\x80\xa6 https://t.co/pyClHRNEyC'
[1970-01-23 15:19:40, 1970-01-23 15:19:45];netflix;-0.05151515047658573;11.0;"b'RT @thewire_in: ""The main problem with #TheWhiteTiger is not that it deviates from the source material, but that it is faithful \xe2\x80\x94 too faith\xe2\x80\xa6'";b'RT @ParineetiChopra: \xe2\x80\xa2 THE GIRL IN PAIN \xe2\x80\xa2 \xf0\x9f\x98\x8a 26th Feb on Netflix \xf0\x9f\x92\x95 #TheGirlOnTheTrain https://t.co/3mJP6iQe6C'
[1970-01-23 15:19:45, 1970-01-23 15:19:50];google;0.04791666691501936;12.0;b'RT @GumCottoncandy: PDF CHAIRMATE (free)\n\nRules :\n\xe2\x80\xa2 RT\n\xe2\x80\xa2 Followers only \n\nhttps://t.co/c2mjnAPRt7';b'RT @rraappee_: \xe2\x99\xa1\xef\xb8\x8e pls rt \xe2\x99\xa1\xef\xb8\x8e\n\n\xe2\x8b\x86\xe2\x81\xba\xe2\x82\x8a\xe2\x8b\x86 p\xe2\x80\x94 powerpoint template by gpd \xe2\x9f\xa1 \xf0\x9f\xaa\xa5\n\xf0\x9f\xaa\xa3 : give awayyy \n\nlink : https://t.co/rYSeRpXzFr\n\n\xf0\x9f\x95\xb3for private use only\xe2\x80\xa6'
[1970-01-23 15:19:45, 1970-01-23 15:19:50];netflix;0.02666666731238365;10.0;b'YESSSSSSS BABBYYYYYY';"b""RT @LizieDoodle: LET'S FUCKING \nGOOOOOOOOOOOOOOOOOO!!! https://t.co/uHdSoEI5Jj"""
[1970-01-23 15:19:50, 1970-01-23 15:19:55];google;0.1391493061867853;12.0;b'RT @frankgaffney: .@Perpetualmaniac: the purges will continue to get worse #BigTechCensorship #BigTech #Google #YouTube #parlershutdown \nht\xe2\x80\xa6';b'@laurenboebert @BadMuthabox You vapid airhead...  For the love of God, Google it and read up before making such a s\xe2\x80\xa6 https://t.co/U7MLQurF33'
[1970-01-23 15:19:50, 1970-01-23 15:19:55];netflix;0.22261904978326388;7.0;b'RT @stargiveawayss: 25 gcash\n\n\xe2\x80\xa2 follow @dobbyprems \n\xe2\x80\xa2 rt main tweet\n\xe2\x80\xa2 retweet + done\n\n\xe2\x80\x94ends later';b'@priyankachopra  @netflix  brilliant  adaptation and loved it \xe2\x9c\xa8 @hksk2007   #TheWhiteTiger https://t.co/SWnOS3MOyv'
